year,acres,ln_acre,scale
1874,338769,12.733073738164029,3.568343276390884
1875,395669.9,12.888335556752143,3.5900328071971908
1876,460699.4,13.040501048557195,3.6111633926696247
1877,468828.1,13.05799145572163,3.6135842948133408
1878,509471.6,13.14112938916886,3.6250695702522537
1879,550115.1,13.217882808041443,3.6356406324114934
1880,598887.3,13.302828712484217,3.64730430763382
1882,696431.7,13.453725005656374,3.667931979420607
1883,672045.6,13.418081474345952,3.663069952150239
1884,769589.9,13.553613054546894,3.6815231976108604
1885,785847.3,13.574517777728389,3.6843612441953066
1886,810233.4,13.605077633290065,3.6885061519929807
1887,818362.1,13.615060182674295,3.6898591006533428
1888,875263,13.68227969160578,3.698956567953425
1889,891520.4,13.700683598805353,3.7014434480085407
1890,964678.6,13.779550267850505,3.712081662335906
1891,1013450.8,13.8288716990486,3.718719093861299
1892,1070351.7,13.883497844019628,3.726056607731507
1893,1045965.6,13.860451035876917,3.7229626691489828
1894,1070351.7,13.883497844019628,3.726056607731507
1895,1037836.9,13.85264920126749,3.7219147224604017
1896,1037836.9,13.85264920126749,3.7219147224604017
1897,1062223,13.875874439908669,3.725033481716462
1898,1102866.5,13.913423257365611,3.730070141078531
1899,1062223,13.875874439908669,3.725033481716462
